Name,Date,Type,Status
test 3(30%),"October 7, 2024",Exam,Not Started
test 2(20%),"October 7, 2024",Exam,Not Started
test 1(20%),"October 7, 2024",Exam,Not Started
"Test 2(15%)-Week 8,9,13 Topics","October 7, 2024",Exam,Not Started
Assignment 1 (15%),"October 21, 2024",Assignment,Not Started
Test 1(40%)-Week 1-7 Topics,"December 9, 2024",Exam,Not Started
Assignment 1(40%),"January 13, 2025",Assignment,Not Started
Test 2,"January 20, 2025",Exam,Not Started
Test 1,"January 27, 2025",Exam,Not Started
Assignment 3 (35%),"February 3, 2025",Assignment,Not Started
Test 3,"February 10, 2025",Exam,Not Started
New Assignment,,Assignment,Not Started
Assignment 1(30%),"November 18, 2024",Assignment,Completed
Assignment 2 (35%),"November 25, 2024",Assignment,Completed
Test 1,"December 2, 2024",Exam,Completed