Status,Name,Date,Raw Score,Total Score,Overall,Percentage,Weighting,Type,Assignment?,Completed Assignment,Course,Days Left,Parent Item,Progress,Sub-item,Upcoming Exam
Not Started,test 3(30%),"October 7, 2024",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Not Started,test 2(20%),"October 7, 2024",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Not Started,test 1(20%),"October 7, 2024",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Not Started,"Test 2(15%)-Week 8,9,13 Topics","October 7, 2024",,,0,0,,Exam,No,0,Market Research and Technology Trends (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Market%20Research%20and%20Technology%20Trends%20116b65ee4ea680daa2cdc3ceaf468f24.md),,,,,0
Not Started,Assignment 1 (15%),"October 21, 2024",,,0,0,,Assignment,Yes,0,UX Design Methods & Techniques (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/UX%20Design%20Methods%20&%20Techniques%20116b65ee4ea68012b579e8b1798b2f66.md),,,,,0
Not Started,Test 1(40%)-Week 1-7 Topics,"December 9, 2024",,,0,0,,Exam,No,0,Market Research and Technology Trends (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Market%20Research%20and%20Technology%20Trends%20116b65ee4ea680daa2cdc3ceaf468f24.md),,,,,0
Not Started,Assignment 1(40%),"January 13, 2025",,,0,0,,Assignment,Yes,0,Market Research and Technology Trends (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Market%20Research%20and%20Technology%20Trends%20116b65ee4ea680daa2cdc3ceaf468f24.md),,,,,0
Not Started,Test 2,"January 20, 2025",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Not Started,Test 1,"January 27, 2025",,,0,0,,Exam,No,0,UX Design Methods & Techniques (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/UX%20Design%20Methods%20&%20Techniques%20116b65ee4ea68012b579e8b1798b2f66.md),,,,,0
Not Started,Assignment 3 (35%),"February 3, 2025",,,0,0,,Assignment,Yes,0,UX Design Methods & Techniques (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/UX%20Design%20Methods%20&%20Techniques%20116b65ee4ea68012b579e8b1798b2f66.md),,,,,0
Not Started,Test 3,"February 10, 2025",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Not Started,New Assignment,,,,0,0,,Assignment,Yes,0,,,,,,0
Completed,Assignment 1(30%),"November 18, 2024",,,0,0,,Assignment,Yes,1,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0
Completed,Assignment 2 (35%),"November 25, 2024",,,0,0,,Assignment,Yes,1,UX Design Methods & Techniques (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/UX%20Design%20Methods%20&%20Techniques%20116b65ee4ea68012b579e8b1798b2f66.md),,,,,0
Completed,Test 1,"December 2, 2024",,,0,0,,Exam,No,0,Operating Systems And Management (Student%20Dashboard%20116b65ee4ea6808eb604f57d4da2f1a3/Databases%20116b65ee4ea681729f6bdecfbe4e3b95/Courses%20116b65ee4ea6813db5b5d6925de4320b/Operating%20Systems%20And%20Management%20116b65ee4ea680c29c79e64fcd829ada.md),,,,,0